Question,Answer1,Result1,Answer2,Result2,Answer3,Result3
"A bad rep spreads like wildfire. If I were you, I'd quit all this nonsense. What's the point?","You're right.",2333,"I don't care.",3002,"I don't know any other way.",3213
"After all, isn't it not pitiable when one denies one's own feelings?","It is a difficult topic.",3000,"But the outcome is clear.",0000,"It's mature to admit defeat.",0302
"After confronting me like this... Are you that kind of human too?","That's not my style.",2300,"What's wrong with that?",0130,"So what?",3300
"Ah, it's a shame. If I'd taken this seriously from the start, I wouldn't be in this sorry state.","Then get serious now.",3200,"Making excuses?",2300,"I wasn't trying either.",1233
"Ain't people your age suppose'ta be out on dates and stuff instead?","Right after this, kid.",0023,"Such a rude little boy...",0202,"Dating's not important.",3333
"And if that's the case, why don't you just stop this futile endeavor? It's meaningless...","You have a point there...",0000,"I can't stop.",0300,"I'll find meaning in it.",0003
"Are all the kids these days doin' stuff like this?","Yeah, we sure are.",1330,"No, I thought this up myself.",2323,"Want to join in?",2130
"Are you bored?","Yes, I'm bored.",0200,"I'm actually pretty busy.",0303,"I never thought about it.",3320
"Are you fighting to help or protect the world or something?","That's right.",0020,"I won't tell you.",3000,"It pays the bills.",1003
"As far as you're concerned, what kind of person was I to you?","My rival.",2332,"Nobody, really.",1113,"It doesn't matter.",3220
"...But be-hee-fore all that, let's enjoy a little chat, ho!","All right, I suppose.",3000,"There's no need for that.",0000,"[...]",0000
"But before you do, do something funny. What can you do?","Impressions.",0300,"Making funny faces.",0130,"Nothing.",3000
"But is it fair to my kind if only I find such happiness, leaving them all behind?","I think so.",2100,"They can all come.",0003,"Your kind?",1000
"But I've been around the block, so I know--there's something else you want from me, isn't there?","Nope.",0300,"I just love the elderly.",0033,"I just want you to die happy.",3100
"But I've got a catch phrase that I'm famous for.","Hee-ho!",0002,"Hee-haw!",0003,"Personaaa!",0000
"But this way of life in this world is all I've ever known.","It's not meaningless.",3332,"There are other ways to live.",2202,"You had a good run.",3003
"But what if I ripped your body apart? ...What color blood would come pouring out?","Red.",0331,"Green.",0213,"I don't bleed or cry.",3110
"Can you sacrifice yourself in order to demonstrate your adoration of our Father?","I can.",0000,"I can't.",0000,"I don't adore him.",0300
"Can you sacrifice yourself in order to demonstrate your veneration of our Father?","I can certainly try.",2033,"No can do.",2300,"What's veneration?",0203
"Care to explain yourself? I certainly hope you have a good reason for this boorish treatment.","That would take a while.",2133,"There's no need to explain.",3210,"Just shut up...",0302
"C'mon, what's with the mask? Kinda cringy, don'tcha think?","Sure is.",3232,"Shut up...",3102,"I'm secretly a kid.",2323
"Confess your sins.","I apologize.",0000,"I think... I was wrong.",0000,"No chance.",0300
"Could this be what humans call a proposal...?","I'm surprised you knew.",1203,"No, it's not.",1300,"That's a myth.",3100
"Couldn't ya at least make me a cup of tea or somethin'? Hell, that'd be real polite.","So sorry.",0231,"Brew your own.",0303,"I'm not known for being polite.",3301
"Did I just see your hand shaking? Isn't your guilt tormenting you?","It's just a chill.",1000,"Yeah, I can't take it...",2003,"Shut up.",3000
"Did I... lose?","Yup...",2102,"Not sure yet.",3300,"Nah, you totally won.",1133
"Didn't you feel like that when you were a kid, too?","It's not so bad-olescent.",3220,"Being a kid is tough.",2333,"I don't remember.",3000
"Do you have a dish you're good at?","Fried rice.",2003,"Mystery meat.",1003,"What are you saying?",3000
"Do you have a lot of friends? Ever feel like the things they do are annoying?","Sometimes.",0232,"No.",2000,"I have no friends.",0303
"Do you know what I speak of?","Sin...?",0103,"Please tell me.",0230,"I've done nothing wrong.",0300
"Do you seek friendly competition with a beloved neighbor? Or have you come to destroy a hated foe?","You're a beloved neighbor.",0333,"You're a loathsome foe.",0200,"You sound preachy.",3103
"Do you...think of me as a charlatan?","I don't think that.",1000,"I think of you as a foe.",0000,"You're not one?",0000
"Do you think they really mean it all the time?","Yes.",0320,"No, but they say it anyway.",0030,"I'm cuter than most kids.",3003
"Doesn't what you're doing bother your conscience?","Now that you mention it...",3030,"...Nope",0300,"I'm past such things.",0000
"Don't take this the wrong way, but man... Bein' a carefree kid sure must be nice.","I want to be a kid forever.",1232,"I prefer being an adult.",2300,"I wish I was still a baby.",1003
"Don't you think expecting your would-be victim to be receptive to your words is unreasonable?","I do.",2320,"I don't.",0300,"Don't worry about it.",3033
"Don't you think it's sad that slang and sayings can grow old and get outdated?","That is sad.",1000,"I don't think so.",0300,"That just proves you're old.",3000
"For you to force me to prostrate myself, as one who only seeks your well-being... Is there anything more irrational?","My apologies.",2000,"I don't want salvation.",0300,"Shut up.",0100
"Guess what I want you to read me before you tuck me into bed!","An animal book",3031,"A story about a Yakuza",0103,"I have no idea",0300
"Had I known things would turn out like this, I'd wish I had found the courage to ask that girl out...","It's not too late.",3031,"You never had a chance.",1300,"I'll make sure she's happy.",2003
"Have you made an appointment, ho?","I have.",2003,"That's not it.",0001,"Just tell me what you know.",0000
"...Heed my words. I am not the one you should detest.","You're right.",0300,"That's absurd.",0002,"I'll be the judge of that.",0003
"Hell, I got all sortsa girls lined up if you're into that.","Really?",2133,"You're trying way too hard.",1222,"I'm not interested.",3311
"Hey. Aren't you hungry? Can we take a break and go eat somewhere?","What're we getting?",0003,"Yeah.",0030,"Now's not the time.",0303
"Hey, how about this? If you don't shoot me, then I'll kiss you. Not a bad deal, right?","Not a bad idea.",2033,"I don't want a kiss.",1002,"Have some self-respect.",3301
"Hey, if I don't die here, what do you think I'll be like in the future?","A fashionable older woman.",0333,"I can't measure that.",0022,"Living in darkness.",3000
"Hey, if ya got any medicine, lend me some. One of them painkillers...","Are you okay?",3032,"I have some antacids.",1003,"That won't change anything.",3300
"Hey, if you got any medicine, lend me some. They're supposed ta work miracles, right...?","Are you OK?",0000,"What kind of medicine?",3000,"That won't change anything?",3300
"Hey, is my hair flat? Does it look weird?","It looks cute.",0030,"It's weird looking.",0000,"Who cares?",0000
"Hey, let's play a game! Guess what I wanna eat!","Hamburgers.",0033,"Curry.",0020,"Shut up.",0300
"Hey, mister, will you give me a yummy snack to eat?","Later.",3033,"No way.",0300,"What would you like?",0222
"Hey. So whaddya feel when you think about the future?","An average level of happiness.",0332,"Live fast, die young.",0003,"Nothing.",3022
"Hey, sonny if somethin's been botherin' you. I'm willin' ta give you a listen.","My relationships...",0331,"I smell sweaty.",0110,"I have no worries.",3000
"...Hey, there's no need for all this, right? Let's drop the drama and just go get something to eat. The thought has crossed your mind, hasn't it? Come on, where would you take me?","An expensive French restaurant.",1000,"A busy ramen joint.",2000,"Where would you like to go?",3000
"Hey. Why aren't ya at school?","It's after school.",2322,"I don't feel like going.",3233,"I actually finished school.",0203
"Honestly, aren't I, like, a way better girl than those idols?","You're more unique.",0100,"Not really...",0000,"Who cares about idols?",3300
"How about we live together? What kind of place do you want to live in?","I can't live with you.",1300,"Next to a convenience store.",2003,"What are you talking about?",3200
"How 'bout we have an interview? You're the winner, after all. I'll listen to whatever you gotta say.","I feel great.",0313,"I want to aim higher.",0322,"Fighting is pointless.",3031
"How 'bout you, sonny? What kinda trip do you wanna take?","A luxury cruise.",1303,"Don't want to go anywhere.",3132,"A trip to hell.",2100
"How 'bout you? You wanna get married someday?","I do.",2302,"I don't.",0111,"That's impossible.",3001
"How can you do such terrible things to a cute hee-ho like me!?","I'm sorry.",0030,"Now that you mention it...",3002,"...Cute?",0000
"How did I lose to you? I mean... I win when it comes to looks, ho.","You're right.",0002,"No, I do.",0003,"It's all about heart.",0000
"How did you find out about me, ho?","Some flyers.",3000,"A speciatly site.",0033,"Word of mouth.",0032
"Humans always want either an autograph or a self-hee, ho. Which is it, ho?","I want an autograph.",2020,"I want a photo.",3032,"Give me your credit card.",3001
"Humans talk over drinks, right? How 'bout it? Hell, let me buy ya a round, sonny.","Quit messing around.",0311,"You're really paying?",0003,"I'm a minor.",3301
"I also have loved ones who would miss me. You do catch my meaning, yes?","I do now.",1032,"That doesn't matter.",0302,"I'm always alone.",3000
"I can't sadden my fans, ho. ...You catch my drift, don't you?","I'm rooting for you.",0033,"Tell me.",0000,"You have no fans.",0000
"I coulda been a star...","A star?",3232,"That's not happening.",0301,"Are you giving up?",3233
"I don't hate you. No, I don't feel that way at all...","Is that so?",3000,"Too late.",0300,"Then let's hold hands.",0133
"I fear neither death, nor you.","In your situation?",0003,"You're tough.",0330,"Don't push yourself.",0032
"...I gotta ask. How do you work out?","I don't really train.",3302,"I just have a knack for it.",2131,"At a gym from hell.",0123
"I guess women are really more social these days, finding so many fun things to do outside the home.","That's so true.",2330,"Men are social too.",2300,"Is that so?",3000
"I insist you surrender yourself to the authorities.","This is a misunderstanding.",2332,"I apologize.",1132,"You've got the wrong idea.",3223
"I know when I'm gettin' all sweaty. I'm glistenin', ain't I?","Like a disco ball.",2332,"Not at all.",1133,"Why does that matter?",3222
"I lost. Here I lay, at your feet, at your mercy. Just what do you want from me?","Give me something.",2333,"Grovel before me.",0301,"I don't know.",3100
"I mean, how does it feel to wave your gun at an enemy who's completely lost the will to fight?","It's not bad.",2300,"...I could get used to it.",2003,"It pains my heart...",2030
"I need to recover, ho. Don't you feel that way too?","Yeah, sometimes.",0033,"Battle is what soothes me.",0000,"Quit whining.",0000
"I occasionally wish to pamper myself as a reward for working hard. How would you do that?","Relax at home.",1232,"Go impulse shopping.",0203,"Don't be so selfish.",3100
"I suppose it makes no difference if you kill me or if I die just a little bit later, dearie.","That's right",0300,"That isn't true",1000,"That's still a long ways off",0000
"I suppose that's why I feel so confused, child. After all, why am I being treated like this?","Because you resisted.",2322,"It can't be helped.",1003,"It's for your own good.",1000
"I suppose this ""real world"" where you come from must be fairly boring.","You're right.",3230,"It keeps me busy.",2302,"It's better than here.",2003
"I think dying alone isn't so bad, dearie, but isn't living alone in the first place the real tragedy?","I don't think so.",0000,"Maybe you're right.",3200,"Being alone is a luxury.",0003
"I think the way you're treating me is ""overfamiliar."" I think...","We are friends.",0303,"What's wrong with that?",1000,"It's because you're cute.",3000
"I wanted to go on vacation, too, before all this happened...","That's too bad.",1332,"What are you getting at?",3203,"You have a boyfriend?",2003
"I was going to catch a great buy, live a life of celebrity... Where'd it all go wrong?","You did nothing wrong.",0000,"You dreamed too big.",1000,"It's your personality.",0000
"I wish I could see what kind of parents raised you to run loose and wreak havoc like this.","I'll introduce you to them later.",1233,"I won't show you.",0000,"Leave my parents out of this.",3300
"I wish they would leave us old people alone. After all, it's not like we have much time left.","I agree.",0332,"Speak for yourself.",2000,"There's an aging boom...",3010
"I wonder how things might have been between us if cicumstances were different somehow.","We wouldn't have been enemies.",2000,"We'd have gotten married.",0000,"Nothing would've changed.",3002
"I wonder how things might have been between us if circumstances had been different somehow?","We would have dated.",0000,"We'd have gotten married.",0000,"Nothing would've changed.",3000
"I wonder if it's about time I quit this job.","Hang in there.",1000,"That's a good idea.",0000,"And then what?",3000
"I wonder if us speaking together like this now means that we are somehow connected...","It could be.",3233,"No way.",2322,"It's fate.",3220
"I would have never accepted this task if I knew it would involve this sort of suffering.","That's a pity...",2130,"Uninformed choices are bad.",3303,"Complaining won't help.",2100
"If so, then won't you overlook this? Let's make a deal...","All right.",0333,"A deal with the enemy?",3020,"I can't trust you.",0120
"If that's the plan, well, you better make sure I'm satisfied.","Don't toy with me.",2321,"You're not making sense.",3202,"What would you like?",3133
"If that's true, then I don't think there's any real point in killing me...","Of course, there's a point.",0000,"You're right",0200,"Then who's the real enemy?",3000
"If yer gonna kill me, do me a solid and make it quick.","Aren't you scared?",3332,"I'll have some more fun first.",1313,"I won't make you suffer.",3232
"If you ask me, it's a lot more fun ta go chasin' after younger ladies, but...","This is true.",2330,"That's not very fun.",2320,"You dirty old man.",3023
"If you capture me, what you going to do to me?","Take pride in capturing you",2300,"Use you to decorate the hall",2103,"Nothing.",3030
"If your girlfriend asked if you wanted to have dinner with ""everybody"", what you you say?","Sure.",0203,"I'm busy.",0300,"What are you talking about?",3000
"If your girlfriend asked if you were free to have dinner with her ""friends"", what would you say?","Sure.",3003,"I'm busy.",0002,"What are you talking about?",0000
"If your parents could see you now, I'm sure it would break their hearts...","You might be right...",1030,"This doesn't involve them.",0000,"Actually, they'd rejoice.",0003
"I'll go out with you just for today if there are no strings attached.","If it pleases you.",2333,"No strings attached?",3023,"I've got enough on my plate...",0323
"I'm a super popular Shadow, you hee-know. My fans won't just sit around and take this, ho.","Please forgive me.",2033,"Fans?",3000,"So what?",2000
"I'm busy, ho. It's tough being so popular.","You do sound busy.",3033,"Your popularity won't last.",0000,"Who cares?",3002
"I'm inclined to turn you down, but if you still wish to speak, I will perhaps consider it.","You have nothing I want.",3312,"Do you have time?",2123,"Don't turn me down.",1032
"I'm just putting this out there, but you wouldn't treat me this way if I were younger, right? ...It's true, isn't it?","It's not true.",1330,"Maybe.",3103,"Cougars are all the rage now.",2200
"...I'm not going to go easy on you for doing something like this, you know...","I'm sorry.",0301,"Prepare for the worst.",1030,"How much do you want?",3101
"I'm not the one you should want to shoot...","You've got a point there...",2133,"Not necessarily.",0300,"Anyone will do.",3100
"I'm sure a miracle's gonna happen to me, right?","Miracles don't exist.",1000,"I'd be jealous if it did.",1032,"I'm waiting.",0033
"I'm sure there're other people in the world who'd irritate you more. C'mon, tell me.","Older people trying to look young.",0223,"No one bothers me.",2130,"I hate everyone.",0300
"I'm thinking that maybe I should act more grandmotherly. How can I go ahead and do that for you?","Make me a homemade meal.",0033,"Scold me every so often.",0300,"You don't have to do anything.",3000
"I'm tired of being a kid. Didn't you feel that way when you were little, too?","Sure did.",3000,"Not really.",0000,"I want to be a kid forever.",0020
"I'm well-connected, okay? I know some people that are pretty complicated.","I want to meet them.",0133,"Complicated...?",1200,"Liar.",3000
"In the end, killin' me's just a waste of yer time and energy. You get what I'm sayin', right?","When you put it that way...",0100,"It's not a waste.",0100,"Enemies must be eliminated.",0200
"Is it because I'm not acting mature enough? Like, what the heck makes someone mature, anyway?","Being old enough to drink.",0002,"Paying your own rent.",0200,"Questioning maturity.",3003
"Is it 'cause I wasn't a ""good kid""?","Yes.",2303,"No.",0030,"It has nothing to do with this.",3101
"Is it just me, or does something stink?","It's just you.",0230,"It's coming from you.",1100,"I smell a lie.",3013
"Is it not a breeding ground for impudent humans? How do you view this world of yours?","Full of corrupt adults.",0300,"Plenty of places to shop.",0000,"Looks normal to me.",0000
"Is it not possible for this series of events involving you and me to be attributed to that?","Fair enough.",3033,"That is incorrect.",2323,"What are you talking about?",3200
"Is it okay if I get mad right now?","Do it.",1302,"Please don't.",3000,"You're so cute.",3003
"Is it only for men? Where did you get it?","Do you want it?",3333,"Internet shopping.",2000,"It's not available for sale.",1000
"Is it scary to get a shot? Does it make you cry, mister?","I did.",0030,"I endure it.",0003,"I like shots.",0000
"Is there a reason why I just can't beat you?","I'm younger, that's all.",1000,"I've totally got girl power.",0003,"Figure it out yourself.",3000
"Is there really any benefit for me if I joined with you?","I think there is.",0232,"I can't promise that.",3302,"It's a matter of feeling.",0003
"Isn't that just like when a human woman gets married and moves in with her husband?","That's right.",2033,"No.",3300,"I love someone else.",2000
"Isn't that kinda... outdated thinking?","Yea.",0000,"No way.",0030,"It's for your own good.",0003
"Isn't that kinda... outdated thinking?","Sorry.",0000,"It's not.",0030,"I'm fine with it.",0013
"It's bad to talk to yourself.","I wasn't talking to myself.",2303,"You're here, aren't you?",3200,"You're right, I'm sorry.",0032
"It's fine to cry sometimes.","No way.",0303,"Right, it is.",1230,"Are you trying to comfort me?",3000
"It's kind of chilly, isn't it?","I'm cold.",3330,"It's not cold at all.",0013,"I can stand it.",0223
"I've... always wanted to say this, but... I think you are a pretty decent person.","Are you trying to flatter me?",2212,"What are you saying?",3000,"Thanks.",1233
"...Just what the hell are you? A monster? A human? Are you a boy? A girl?","I am what you fear.",3103,"I am a man.",2002,"I'm just a kid.",0020
"Just what's your purpose in doing all of this? Is it for money, or just to have fun?","It's for justice.",0032,"For fun.",0323,"For money.",1022
"Listen, do you like people that are into older guys?","I do.",2103,"I'm into young men.",1232,"I hate older men.",3300
"Looking at you, you seem a little stiff. Are you constipated?","Yeah, I am...",0332,"What are you saying?",3200,"Mind your own business.",0103
"Maybe if I just kept my mouth shut, you wouldn't be doing this to me.","You might be right.",2230,"It doesn't make a difference.",3102,"Silence is complicity.",2200
"My heart is pounding. It feels like it's going to pop right out of my chest...","Are you all right?",3232,"That's an adrenaline rush.",1322,"Is that a good thing?",0202
"Nothin' like a bad day to get ya up and fightin', ho.","That's right.",0333,"I'm tired.",3021,"I want to go home.",2000
"Now that I'm looking at you, you're not half bad. I'll make you into a star! What do you say?!","No thanks.",3022,"I can't be a star.",2033,"I'll be a super-star!",2300
"Now that you're an adult, what do you think is a good way to kill time?","Fishing.",3030,"Reading.",3000,"Doing whatever I want.",0002
"Now you know how I feel, being put in such a horrible position. The world isn't fair, is it?","It's not fair at all.",3320,"It's very fair.",0103,"Maybe this is your fault.",0030
"...Oh, don't tell me... You are a male, correct?","I'm a boy.",3203,"I'm a girl.",3020,"Why does it matter?",0310
"Oh, I'm just playing around, ho. What's wrong? You don't have a sense of humor, ho?","You scared me.",0031,"I do.",3033,"I'm not laughing.",0012
"Please, I ask for your assistance. Lend me your strength.","I will not help you.",1300,"I will help you.",2022,"Do you really need it?",0232
"Please, just let me go. I won't ever do anything bad again.","I can't believe you.",3002,"I'll let you go.",1233,"I'm not falling for that.",2323
"Power is intoxicating, is it not? How does it feel to be in a position to kill me?","I don't know.",3223,"It's a thrill.",0012,"It's nothing special.",3300
"...Right? So you understand my pain, don't you?","I don't.",0300,"I'm used to it.",0003,"I do.",2033
"Seems like the young folk these days can get ahold of anything just by searching for it online.","You're right.",3032,"Not everything is online.",0021,"What are you looking for?",0303
"Since it seems you have a moment, perhaps you will entertain me by answering a question or two?","I don't have time.",0302,"I suppose so...",2033,"Go ahead.",2002
"So, how does it feel to live a life full of lies?","It's not a lie.",0030,"It's my life.",0302,"How is my life a lie?",3000
"So, how do I look, ho? Just as cool as always, right?","You look good.",0233,"You're not cool at all.",3101,"Who are you?",0202
"So, you're the one that's been making a fuss? C'mon now, don't get so upset...","That's right.",2301,"I am calm.",3233,"You're the one making the fuss.",0030
"Some people get happy when they're told they're cute, don't they?","You're right.",2032,"No.",1301,"Only if they're a kid.",3020
"Someone's a little sad, huh?","I'm not sad.",0203,"I just want to be left alone.",2032,"Are you sad, too?",3000
"Tell me, how did you get so strong? Are you using some kinda cheats?","That's a secret.",0233,"Hard work and dedication.",2003,"It's my bloodline.",0002
"Tell me, what is something you're good at?","Nothing...",2301,"I'm good at everything.",2233,"I'm good at sports.",2323
"That's not very nice. I have feelings, you know!","I'm sorry.",0230,"So do I.",2323,"I'm fine with it.",1101
"The things that happened in the past, the things that will happen in the future... Do you feel nothing towards any of it?","Of course I do.",0332,"I feel nothing.",3302,"Why do you ask?",3203
"There must have been something that made you stronger... Just what was it?","I don't know.",3200,"I'm not that strong.",2323,"My past made me strong.",0002
"This is kind of... weird, isn't it? For us to be doing this...","It sure is.",3332,"What are you talking about?",2333,"I don't think it's weird.",1033
"This isn't what I imagined. I thought my life would be better.","Me, too.",3030,"What did you imagine?",2023,"You can still start over.",2223
"This is supposed to be the final boss, but I'm just a kid... What's with this reality?","The world is unfair.",3302,"There's no point in complaining.",0023,"Just go home.",2321
"This just means that the two of us... The two of us have been bound by destiny, ho!","You're exaggerating.",1022,"That's not it.",3123,"Bound by destiny...",2233
"Those who would defy me... Are you all as rude as you are?","Yeah, we are.",3130,"What are you going to do about it?",2312,"That's just my personality.",3332
"Tsk, you're so stubborn. How about we just have a little fun instead?","Okay, fine.",2032,"No thanks.",3220,"What do you have in mind?",0303
"What do I do...? I can't think of anything! I'm drawing a blank here!","Give up.",1330,"That's your problem.",0023,"Just chill out.",0032
"What do you do with your spare time?","I work.",2113,"I watch movies.",0033,"I just stay home.",3022
"What do you do when you don't feel like doing anything at all?","I get it over with.",0033,"I don't do it.",3302,"I ask for help.",0020
"What do you think is a good way to get through a long, boring lecture?","Listening closely.",3232,"Sleeping.",3301,"Doodling.",0303
"What do you think of me?","You're a cool boss.",0333,"You're a liar.",3101,"You're just a kid.",0032
"What do you think of people who take public transportation?","They're mature.",2332,"They're selfish.",1103,"Why would I care?",0200
"What do you think you're doing? Why don't you have a good answer for me?","I'm done with you.",3102,"I don't have to answer.",3330,"I don't have an answer.",0032
"What makes you so different from everyone else? Tell me. I'll even listen to your long, boring story.","I'm a normal guy.",2002,"I don't have to tell you.",0033,"I'm not different.",0020
"What will you do with me now?","I'll keep you as a pet.",1021,"I'll let you go.",3232,"I'll lock you up.",2110
"What're you gonna do after this is all over? You got a party planned or somethin'?","I'll go home.",2330,"I'm not sure yet.",0032,"I have to go to work.",1232
"What's it like to live with so many people? All the noise and crowds... doesn't it bother you?","I don't know any other way.",2323,"I hate it.",3302,"I'm not bothered.",2303
"What's the right way to live your life, then? Tell me, since you're so enlightened.","I don't know.",3120,"Just live without regrets.",0033,"I'm not sure.",2202
"What's with the scary face? It's not cute at all! Are you upset, mister?","No, I'm fine.",3333,"Who are you calling ""mister""?",0203,"I'm just a little mad.",0231
"What's with the way you're talkin'? Are you from out of town or somethin'?","It's just the way I talk.",2303,"Yeah, I am.",0030,"I am from the city.",3002
"When you look in the mirror, what do you see?","A bad person.",2221,"An average person.",0032,"A handsome man.",0330
"Why do you look so lonely? Is it because you were cast out?","I'm not lonely.",0203,"Maybe so.",2030,"My friends are waiting.",0022
"Why do you look so lost? Is it because you are burdened by what you've done?","I'm not lost.",2323,"I'm a little tired.",2302,"What are you getting at?",2033
"Why don't you talk to me? Aren't you going to tell me a secret or two?","I have no secrets.",2332,"I don't trust you.",3302,"I'll share later.",0020
"Why is it that you can kill so easily? Are you that far from being human?","I'm just good at it.",0103,"I'm still human.",3000,"I'm not human.",2033
"You have a look about you... Did you come from a big family?","Yes.",2320,"No, I'm an only child.",2133,"What are you implying?",3202
"You know... It's not a crime to be weak.","It sure is.",0013,"It is a crime.",0102,"What are you talking about?",3022
"You know... If you took it easy, you might just get some sleep.","Maybe you're right...",3030,"I don't have time.",0303,"I'm not tired.",0022
"You know what? I'm gonna ask you a simple question.","Shoot.",0032,"Are you sure it's simple?",0303,"I don't want to answer.",3302
"You may not like it, but what are you?","A kid.",3232,"An adult.",0030,"I'm nothing.",3301
"You have no hobbies or anything? It's all just fighting?","I have no hobbies.",3301,"I have hobbies.",0033,"I like fighting.",0010
"You wanna come with me on my next big journey, ho?","I would love to.",2232,"I have other plans.",3332,"I'm not a hee-ho!",2000
"You're right... How could I not realize this?! This world is meaningless!","It's not meaningless.",3330,"I've been trying to tell you that.",2020,"That's right.",2303
"You're lucky it was just me. You can't do anything like this in the real world, right?","That's right.",1330,"I choose my targets carefully.",2010,"I'm serious about this.",0310
"You're showing off your strength to me, aren't you? I total-hee read your mind, ho.","You're misunderstanding.",0000,"The hell are you saying?",0000,"Make me your apprentice.",2000
"You're s'posed to go easy on kids! Are you stupid? Do you go to school and get stupid grades?","I'm smart.",1333,"I'm good at PE.",3132,"Shut up.",0012
